tconst	startYear	primaryTitle	averageRating	numVotes
tt0078788	1979	Apocalypse Now	8.4	745290
tt1670345	2013	Now You See Me	7.2	742167
tt0780504	2011	Drive	7.8	738666
tt1136608	2009	District 9	7.9	737371
tt4633694	2018	Spider-Man: Into the Spider-Verse	8.4	736515
tt0948470	2012	The Amazing Spider-Man	6.9	736173
tt1170358	2013	The Hobbit: The Desolation of Smaug	7.8	733875
tt0295297	2002	Harry Potter and the Chamber of Secrets	7.4	732697
tt0304141	2004	Harry Potter and the Prisoner of Azkaban	7.9	732552
tt8579674	2019	1917	8.2	732502
tt3748528	2016	Rogue One: A Star Wars Story	7.8	728190
tt0457430	2006	Pan's Labyrinth	8.2	727043
tt0421715	2008	The Curious Case of Benjamin Button	7.8	724078
tt3783958	2016	La La Land	8.0	722904
tt1504320	2010	The King's Speech	8.0	722625
tt0449088	2007	Pirates of the Caribbean: At World's End	7.1	721852
tt0451279	2017	Wonder Woman	7.3	721543
tt0330373	2005	Harry Potter and the Goblet of Fire	7.7	720631
tt0381061	2006	Casino Royale	8.0	720088
tt0107048	1993	Groundhog Day	8.0	719350
tt1856101	2017	Blade Runner 2049	8.0	717549
tt5463162	2018	Deadpool 2	7.6	716445
tt1798709	2013	Her	8.0	704403
tt0369610	2015	Jurassic World	6.9	704215
tt0418279	2007	Transformers	7.1	699177
tt0073195	1975	Jaws	8.1	699088
tt0099785	1990	Home Alone	7.7	698816
tt2527336	2017	Star Wars: Episode VIII - The Last Jedi	6.9	698308
tt3460252	2015	The Hateful Eight	7.8	694964
tt0988045	2009	Sherlock Holmes	7.6	692065
tt2294629	2013	Frozen	7.4	690931
tt0454876	2012	Life of Pi	7.9	686713
tt1637725	2012	Ted	6.9	686588
tt2562232	2014	Birdman or (The Unexpected Virtue of Ignorance)	7.7	683917
tt0364569	2003	Oldboy	8.3	683089
tt0758758	2007	Into the Wild	8.0	681338
tt1446714	2012	Prometheus	7.0	678631
tt0120903	2000	X-Men	7.3	675378
tt0469494	2007	There Will Be Blood	8.2	674120
tt0440963	2007	The Bourne Ultimatum	8.0	672720
tt0413300	2007	Spider-Man 3	6.3	671925
tt0373889	2007	Harry Potter and the Order of the Phoenix	7.5	669399
tt0162222	2000	Cast Away	7.8	668347
tt0829482	2007	Superbad	7.6	666791
tt0114746	1995	12 Monkeys	8.0	665604
tt0075148	1976	Rocky	8.1	662923
tt0332280	2004	The Notebook	7.8	658743
tt0936501	2008	Taken	7.7	657076
tt2380307	2017	Coco	8.4	655362
tt3890160	2017	Baby Driver	7.5	654544
tt1024648	2012	Argo	7.7	653941
tt0234215	2003	The Matrix Reloaded	7.2	653842
tt0240772	2001	Ocean's Eleven	7.7	649729
tt1156398	2009	Zombieland	7.5	647585
tt1396484	2017	It	7.3	647327
tt0120363	1999	Toy Story 2	7.9	647323
tt0119488	1997	L.A. Confidential	8.2	643496
tt11286314	2021	Don't Look Up	7.2	642796
tt0119654	1997	Men in Black	7.3	642408
tt15239678	2024	Dune: Part Two	8.5	642132
